F_FacultyID,F_FirstName,F_LastName,F_YearsEmployed,F_DepartmentID,F_Title
Integer,String,String,Integer,Integer,String
-------------------------------------------
1,Martha,Farmer,40,66,Assistant Professor
2,Lillian,Gay,28,31,Professor Emeritus
3,Rhonda,Chappell,48,44,Professor Emeritus
4,Bryan,Smith,13,30,Associate Professor
5,Christy,Cooke,24,65,Adjunct Professor
6,Edward,Cline,22,57,Associate Professor
7,Kelly,Newman,44,77,Adjunct Professor
8,Sara,Mills,50,29,Instructor
9,Leonard,Conner,1,48,Associate Professor
10,Greg,Phillips,6,21,Adjunct Professor
11,Julia,Wolfe,13,55,Professor Emeritus
12,Carolyn,McDaniel,11,35,Professor
13,Milton,Hewitt,30,58,Instructor
14,Bradley,Ferrell,22,2,Assistant Professor
15,Nathan,Owens,19,3,Professor Emeritus
16,Kent,Freeman,43,16,Instructor
17,Marsha,Benton,29,26,Professor Emeritus
18,Max,Allred,20,57,Professor
19,Cameron,Donovan,16,31,Instructor
20,Ellen,Savage,17,76,Associate Professor
21,Rachel,Dale,28,31,Assistant Professor
22,Courtney,Wilkins,41,63,Assistant Professor
23,Lauren,Walters,36,18,Professor Emeritus
24,Valerie,Douglas,33,13,Professor
25,Curtis,Greenberg,42,73,Professor Emeritus
26,Robin,Hirsch,38,12,Assistant Professor
27,Nelson,Moody,29,30,Professor Emeritus
28,Virginia,Gibbs,19,76,Professor Emeritus
29,Nancy,Reese,3,79,Assistant Professor
30,Jessie,Mullen,4,26,Associate Professor
31,Valerie,Holmes,50,48,Professor
32,Nancy,Hale,36,39,Adjunct Professor
33,Terry,Erickson,37,65,Professor Emeritus
34,Marilyn,Nixon,29,71,Assistant Professor
35,Terri,Grossman,50,52,Associate Professor
36,Erik,Wise,37,23,Adjunct Professor
37,Paul,Branch,37,11,Professor
38,Debra,Mayo,32,52,Adjunct Professor
39,Tony,Parrott,29,27,Professor
40,Kristina,Crane,13,2,Professor
41,Julian,Currin,18,35,Professor Emeritus
42,Roger,Hanna,10,12,Instructor
43,Kyle,Bernstein,49,24,Professor Emeritus
44,Tom,Kang,41,37,Associate Professor
45,Ellen,Collier,44,24,Professor Emeritus
46,Judith,Meyers,13,41,Professor Emeritus
47,Victor,Davis,28,60,Associate Professor
48,Rose,Langston,42,81,Adjunct Professor
49,Cindy,Hudson,16,54,Adjunct Professor
50,Jay,Beard,29,47,Adjunct Professor
51,Laura,Brewer,14,58,Associate Professor
52,Ronnie,Liu,50,81,Associate Professor
53,Floyd,Sharma,6,13,Assistant Professor
54,Meredith,Simpson,11,39,Associate Professor
55,Carol,Hatcher,30,46,Associate Professor
56,Vickie,Abbott,14,42,Instructor
57,Allan,Stark,46,6,Assistant Professor
58,Hilda,Raynor,28,37,Professor Emeritus
59,Emma,Wade,24,27,Assistant Professor
60,Catherine,Puckett,49,40,Instructor
61,Kathleen,Hamrick,32,42,Professor
62,Laurie,Wise,13,43,Professor Emeritus
63,Charles,Knox,29,66,Professor
64,Brenda,Hanson,19,19,Associate Professor
65,Tom,Lynn,23,46,Professor
66,Leigh,McCullough,1,39,Associate Professor
67,Robyn,Foley,28,40,Associate Professor
68,Andrew,Dawson,7,79,Adjunct Professor
69,Eleanor,Diaz,18,11,Adjunct Professor
70,Norma,Woodward,47,70,Professor Emeritus
71,Ethel,Hammond,7,22,Professor
72,Diane,James,46,31,Instructor
73,Sue,Casey,21,20,Associate Professor
74,Tommy,Bullard,27,42,Instructor
75,Brad,Roberson,44,1,Associate Professor
