S_StudentID,S_FirstName,S_LastName,S_Year,S_GPA,S_MajorID,S_AdvisorID
Integer,String,String,String,Double,Integer,Integer
-------------------------------------------
1,Brandon,Rose,Sr,3.78,49,14384
2,Sheryl,Gray,So,2.50,37,10387
3,Lori,Lang,Jr,1.64,18,18691
4,Ronald,Lloyd,Fr,0.12,82,14173
5,Curtis,Bernstein,Sr,0.63,32,15783
6,Nelson,Best,Jr,0.23,3,13930
7,Jeanette,Dalton,Jr,2.12,6,11394
8,Alvin,Conner,So,1.85,22,9422
9,Dwight,Bowles,Jr,0.14,28,23316
10,Marie,Zhao,Jr,0.63,44,9957
11,Paul,Gibson,Sr,2.85,11,2306
12,Annette,Buckley,So,1.14,27,847
13,Janice,Ho,Sr,0.15,11,19583
14,Marilyn,English,Fr,2.88,53,19044
15,Cameron,Proctor,Sr,2.04,55,20789
16,Allison,Poe,Fr,0.77,81,24933
17,Terry,Rosenberg,Sr,0.95,72,11227
18,Paul,Boykin,So,2.68,46,1435
19,Craig,Flowers,Fr,2.53,54,23318
20,Hilda,Holmes,So,2.66,59,24287
21,Tracy,Boykin,So,0.32,58,8441
22,Leah,Lloyd,Sr,3.10,41,9482
23,Brian,Ford,So,1.87,25,4498
24,Hugh,Petty,Sr,3.29,26,6220
25,Becky,Parker,Fr,2.71,5,9504
26,Ronnie,McIntosh,Sr,1.97,15,1341
27,Keith,Hall,Sr,1.22,69,22847
28,Hazel,Coleman,Jr,2.42,59,12765
29,Jean,Wu,Jr,1.25,64,7035
30,Richard,Spears,So,2.28,17,23744
31,Louis,Elmore,Fr,0.38,5,1433
32,Sheryl,Baird,Sr,0.59,18,1475
33,Vickie,Callahan,Fr,2.19,35,8236
34,Gregory,Holloway,Fr,3.77,7,10929
35,Laurence,Thomson,Fr,2.07,28,14614
36,Kimberly,Vaughn,So,1.70,12,10129
37,Walter,Johnson,Sr,2.71,12,18325
38,Chad,Kearney,Jr,0.45,66,14773
39,Tammy,Langston,Jr,0.70,24,2955
40,Bryan,Goldberg,Fr,1.56,44,10198
41,Carl,Powell,Sr,1.00,1,23623
42,Donna,McCall,Jr,1.12,21,4341
43,Heather,Frost,So,0.79,78,662
44,Gina,Parker,So,1.23,14,4445
45,Lynn,Benson,So,1.25,52,8283
46,Joann,Hall,Sr,2.53,56,12601
47,Claudia,Strickland,Sr,1.74,14,22469
48,Christine,Connolly,Sr,2.61,47,8934
49,Marianne,Schaefer,So,1.60,42,23900
50,Jason,Bond,Jr,1.27,13,12191
51,Laurence,Waters,Jr,1.77,47,22091
52,Allan,Sun,Jr,3.80,2,17446
53,Ethel,Gibson,So,0.60,9,3349
54,Sidney,Pate,So,2.07,29,16343
55,Shawn,Pearce,Sr,0.20,44,322
56,Rodney,Palmer,Sr,3.41,32,5940
57,Kathy,Vogel,Jr,3.85,29,11128
58,Philip,McMahon,So,1.97,66,2423
59,Daniel,McKnight,Jr,0.73,42,4293
60,Lucy,Taylor,Jr,2.41,16,16223
61,Floyd,Cowan,Jr,1.25,2,2299
62,Joann,Yu,Sr,1.33,33,13820
63,Jordan,Skinner,Fr,0.74,82,10380
64,Marie,Young,Fr,3.80,75,21861
65,Allan,Wilder,So,1.05,51,17622
66,Andrea,Conway,Jr,1.45,46,6327
67,Kenneth,Knowles,Fr,0.43,68,11785
68,Rachel,Barber,Jr,3.59,72,8873
69,Dennis,Burns,So,1.04,19,7754
70,Megan,Griffin,Jr,3.68,47,22891
71,Melanie,Dickson,So,1.89,28,14501
72,Tracey,Dolan,So,1.64,75,23304
73,Anita,Wolf,Fr,3.53,46,22687
74,Ken,Hendrix,Fr,2.37,67,24158
75,Betsy,Bauer,Sr,0.29,49,20461
76,Jennifer,Osborne,So,3.95,58,7557
77,Don,Kang,Sr,0.29,26,1040
78,Lindsay,Lamb,Sr,1.60,18,17648
79,Kristin,Kay,Sr,2.16,51,4340
80,Cameron,Glenn,So,2.86,45,10050
81,Lynne,Wells,Sr,0.39,65,3178
82,Tiffany,Pope,Sr,2.93,51,20368
83,Frederick,Langley,Fr,0.83,15,2830
84,Sherry,Grant,Jr,2.62,48,3827
85,Scott,Cochran,So,0.82,20,3024
86,Curtis,Odom,Jr,2.78,58,18997
87,Dawn,Cooper,Fr,0.15,48,14525
88,Joan,Perez,Jr,3.01,39,1313
89,Faye,Weinstein,So,3.79,35,4917
90,Rita,McMillan,Fr,2.52,9,2648
91,Cameron,Crane,Jr,1.13,74,5858
92,Susan,McCoy,Sr,0.13,13,18513
93,Terri,McKay,So,3.56,57,16190
94,Pauline,Reilly,Jr,3.39,34,23988
95,Caroline,Singleton,Fr,2.07,41,6857
96,Guy,Weiner,Jr,0.18,14,7206
97,Barry,Ferrell,So,0.74,65,11874
98,Bernice,Humphrey,Jr,3.58,46,1608
99,June,Avery,Jr,0.19,68,16101
100,Joseph,Jordan,So,1.58,60,8075
101,Kristen,Logan,Sr,2.18,48,271
102,Peter,Hinson,Sr,3.74,50,17623
103,Dean,Beck,Sr,2.93,56,6683
104,Marsha,Weiss,Sr,1.75,39,16522
105,Jeff,Beard,Fr,1.38,32,9232
106,Kevin,Kerr,Fr,2.82,54,4099
107,Elsie,Giles,Fr,1.97,58,22232
108,Joy,Scarborough,Jr,3.71,55,19219
109,Betty,Christensen,Fr,3.37,10,19978
110,Vickie,Kane,Fr,0.58,47,4208
111,Kurt,Schwartz,Fr,0.37,40,20128
112,Zachary,Ryan,Sr,0.45,50,10564
113,Rita,Marks,Jr,1.56,61,13292
114,Gwendolyn,Shaffer,Jr,0.06,11,3994
115,Ray,Bullock,Jr,2.94,38,1718
116,Gilbert,Schmidt,Jr,1.44,7,6487
117,Ben,Bowden,Sr,3.63,61,3180
118,Geraldine,Godwin,So,2.95,71,10711
119,Wayne,Lowe,Sr,3.54,17,21138
120,Nelson,Creech,Jr,3.11,40,926
121,Rosemary,Burke,Jr,2.91,14,21964
122,Kimberly,Rodgers,So,0.34,72,23572
123,Louis,Starr,Jr,2.06,37,22605
124,Victoria,Wells,Sr,1.96,76,9486
125,Rosemary,Mathews,So,3.64,65,5968
126,Patrick,Reilly,Sr,2.37,16,15866
127,Troy,Hall,Fr,1.33,29,9212
128,Brandon,Davidson,Sr,1.73,57,8271
129,Kurt,Benton,Jr,1.99,37,22284
130,Charlotte,Bell,Jr,1.74,59,16951
131,Eric,Daniels,Sr,2.83,34,9048
132,Marsha,Merrill,Jr,2.99,52,22955
133,Christina,Barnett,Sr,0.63,55,14160
134,Michael,Carroll,Jr,2.73,68,16724
135,Arnold,Chen,Sr,1.66,47,10822
136,Kara,Moon,Sr,3.02,52,10270
137,Aaron,Ross,Jr,3.29,64,908
138,Paula,Yates,Jr,1.35,28,22085
139,Brad,Coble,Sr,2.53,25,23899
140,Marcia,Bray,Fr,2.17,16,2507
141,Mildred,Bloom,So,1.10,11,15001
142,Karl,Cannon,Sr,2.27,30,21339
143,Edith,Everett,Jr,1.33,14,1788
144,Dianne,Goldman,Jr,1.91,18,9851
145,Steve,Bloom,So,2.95,56,23814
146,Audrey,Jensen,So,3.83,26,15721
147,Charlotte,Sweeney,Jr,2.05,13,4297
148,Regina,Keith,So,3.35,56,5298
149,Lloyd,Wiley,Sr,1.96,8,17058
150,Lynne,Fowler,So,1.55,82,12484
151,Frances,Link,Jr,2.22,2,14933
152,Colleen,Faulkner,Jr,0.86,25,3683
153,Eva,Brooks,Fr,1.15,64,10991
154,Frederick,Kirkland,Sr,3.29,42,16893
155,Robin,Gilbert,Sr,0.19,81,1137
156,Betsy,Sutherland,Sr,3.11,76,6583
157,Thelma,Alexander,So,2.38,67,1816
158,Randy,Sharp,So,2.58,44,11784
